"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Frederick Lorz","0","M","","00:06:02","2:38:25","1","1","1",9505,"Frederick","Lorz"
"Louis Marks","0","M","","00:06:05","2:39:50","2","2","2",9590,"Louis","Marks"
"Robert A Fowler","0","M","","00:06:08","2:41:07","3","3","3",9667,"Robert A Fowler",""
"H F Miller","0","M","","00:06:12","2:42:44","4","4","4",9764,"H F Miller",""
"E S Farnsworth","0","M","","00:06:13","2:43:01","5","5","5",9781,"E S Farnsworth",""
"David J Kneeland","0","M","","00:06:25","2:48:32","6","6","6",10112,"David J Kneeland",""
"Thomas J Sullivan","0","M","","00:06:35","2:52:47","7","7","7",10367,"Thomas J Sullivan",""
"John J Kennedy","0","M","","00:06:36","2:53:17","8","8","8",10397,"John J Kennedy",""
"Martin J OONeil","0","M","","00:06:38","2:53:56","9","9","9",10436,"Martin J OONeil",""
"John S Hunt","0","M","","00:06:40","2:54:51","10","10","10",10491,"John S Hunt",""
