"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Clarence H DeMar","0","M","Massachusetts","00:05:59","2:37:07","1","1","1",9427,"Clarence H DeMar",""
"James P Henigan","0","M","Massachusetts","00:06:08","2:41:01","2","2","2",9661,"James P Henigan",""
"Joie W Ray","0","M","Illinois","00:06:10","2:41:56","3","3","3",9716,"Joie W Ray",""
"J K Mullan","0","M","Pennsylvania","00:06:21","2:46:54","4","4","4",10014,"J K Mullan",""
"Harvey Frick","0","M","New York","00:06:25","2:48:28","5","5","5",10108,"Harvey","Frick"
"Carl W A Linder","0","M","Massachusetts","00:06:29","2:50:13","6","6","6",10213,"Carl W A Linder",""
"William Wilson","0","M","Pennsylvania","00:06:31","2:51:02","7","7","7",10262,"William","Wilson"
"Leo Giard","0","M","Massachusetts","00:06:31","2:51:11","8","8","8",10271,"Leo","Giard"
"Charles E Cahill","0","M","Massachusetts","00:06:33","2:52:02","9","9","9",10322,"Charles E Cahill",""
"Silas McLellan","0","M","Canada","00:06:35","2:52:56","10","10","10",10376,"Silas","McLellan"
"Thomas Bury","0","M","Massachusetts","00:06:40","2:54:55","11","11","11",10495,"Thomas","Bury"
"O T Wood","0","M","Vermont","00:06:41","2:55:37","12","12","12",10537,"O T Wood",""
"Billy Reynolds","0","M","Canada","00:06:43","2:56:24","13","13","13",10584,"Billy","Reynolds"
"Leon G Yeuell","0","M","Mississippi","00:06:45","2:57:04","14","14","14",10624,"Leon G Yeuell",""
"John E Holmy","0","M","Massachusetts","00:06:46","2:57:40","15","15","15",10660,"John E Holmy",""
"Max Lamp","0","M","New York","00:06:46","2:57:47","16","16","16",10667,"Max","Lamp"
"Charles Soloman","0","M","New York","00:06:47","2:58:10","17","17","17",10690,"Charles","Soloman"
"Horatio Stanton","0","M","Rhode Island","00:06:48","2:58:33","18","18","18",10713,"Horatio","Stanton"
"G Nyman","0","M","New York","00:06:48","2:58:39","19","19","19",10719,"G","Nyman"
"Edouard Fabre","0","M","Canada","00:06:49","2:58:46","20","20","20",10726,"Edouard","Fabre"
"Benjamin Bern","0","M","Massachusetts","00:06:50","2:59:36","21","21","21",10776,"Benjamin","Bern"
"Joseph M Harvey","0","M","New York","00:06:51","2:59:52","22","22","22",10792,"Joseph M Harvey",""
"Christopher J Fitzgerald","0","M","Illinois","00:06:52","3:00:07","23","23","23",10807,"Christopher J Fitzgerald",""
"Alger W Strom","0","M","Michigan","00:06:52","3:00:15","24","24","24",10815,"Alger W Strom",""
"L Takkanen","0","M","New York","00:06:53","3:00:33","25","25","25",10833,"L","Takkanen"
"Paul Questnot","0","M","Canada","00:06:55","3:01:34","26","26","26",10894,"Paul","Questnot"
"George Wayne","0","M","New York","00:07:00","3:03:58","27","27","27",11038,"George","Wayne"
"Arthur Havey","0","M","","00:07:02","3:04:33","28","28","28",11073,"Arthur","Havey"
"Hector Corkum","0","M","Canada","00:07:03","3:05:02","29","29","29",11102,"Hector","Corkum"
"Clifton B Chandler","0","M","Massachusetts","00:07:05","3:05:55","30","30","30",11155,"Clifton B Chandler",""
"Bennio O'Hara","0","M","Massachusetts","00:07:07","3:06:48","31","31","31",11208,"Bennio","O'Hara"
"Theodore Gaul","0","M","Massachusetts","00:07:08","3:07:18","32","32","32",11238,"Theodore","Gaul"
"Sam Mongeau Jr","0","M","Massachusetts","00:07:09","3:07:45","33","33","33",11265,"Sam Mongeau Jr",""
