"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Charles F McCarthy","0","M","","00:05:15","2:17:54","1","1","1",8274,"Charles F McCarthy",""
"George F McInerny","0","M","","00:05:19","2:19:45","2","2","2",8385,"George F McInerny",""
"Fred S Cameron","0","M","","00:05:40","2:28:52","3","3","3",8932,"Fred S Cameron",""
"Clarence H DeMar","0","M","","00:05:42","2:29:52","4","4","4",8992,"Clarence H DeMar",""
"James J Corkery","0","M","","00:05:53","2:34:25","5","5","5",9265,"James J Corkery",""
"John R Roe","0","M","","00:06:01","2:38:06","6","6","6",9486,"John R Roe",""
"Michael J Ryan","0","M","","00:06:02","2:38:24","7","7","7",9504,"Michael J Ryan",""
"John J Reynolds","0","M","","00:06:06","2:40:03","8","8","8",9603,"John J Reynolds",""
"R E MacCormack","0","M","","00:06:07","2:40:25","9","9","9",9625,"R E MacCormack",""
"Edwin A White","0","M","","00:06:08","2:40:50","10","10","10",9650,"Edwin A White",""
"E P Devlin","0","M","","00:06:09","2:41:34","11","11","11",9694,"E P Devlin",""
"James Cleary","0","M","","00:06:17","2:44:58","12","12","12",9898,"James","Cleary"
"R F Piggott","0","M","","00:06:31","2:50:59","13","13","13",10259,"R F Piggott",""
"James H Maloney","0","M","","00:06:33","2:51:55","14","14","14",10315,"James H Maloney",""
"W Wiseman","0","M","","00:06:37","2:53:45","15","15","15",10425,"W","Wiseman"
"Charles Cook","0","M","","00:06:40","2:54:48","16","16","16",10488,"Charles","Cook"
"John G Near","0","M","","00:06:45","2:57:15","17","17","17",10635,"John G Near",""
"J P Brennan","0","M","","00:06:46","2:57:31","18","18","18",10651,"J P Brennan",""
"Gordon W Wolfe","0","M","","00:06:47","2:57:56","19","19","19",10676,"Gordon W Wolfe",""
"Edw W McTlernan","0","M","","00:06:49","2:58:57","20","20","20",10737,"Edw W McTlernan",""
"W Gibson","0","M","","00:06:54","3:01:11","21","21","21",10871,"W","Gibson"
"M H Ellis","0","M","","00:06:56","3:01:57","22","22","22",10917,"M H Ellis",""
"Alex Russell","0","M","","00:06:58","3:03:04","23","23","23",10984,"Alex","Russell"
"Henri Renaud","0","M","","00:06:59","3:03:24","24","24","24",11004,"Henri","Renaud"
"Ernest Peabody","0","M","","00:07:00","3:03:56","25","25","25",11036,"Ernest","Peabody"
"James W Lawson","0","M","","00:07:01","3:04:04","26","26","26",11044,"James W Lawson",""
"Patrick Grant","0","M","","00:07:01","3:04:20","27","27","27",11060,"Patrick","Grant"
"Fred McGlone","0","M","","00:07:02","3:04:41","28","28","28",11081,"Fred","McGlone"
"Ralph Raymond","0","M","","00:07:02","3:04:43","29","29","29",11083,"Ralph","Raymond"
"Ed Horn","0","M","","00:07:03","3:05:02","30","30","30",11102,"Ed","Horn"
"George De Cleco","0","M","","00:07:04","3:05:29","31","31","31",11129,"George De Cleco",""
"Charles Connors","0","M","","00:07:05","3:06:09","32","32","32",11169,"Charles","Connors"
"James W O'Marn","0","M","","00:07:07","3:06:53","33","33","33",11213,"James W O'Marn",""
"S A Mellor Jr","0","M","","00:07:11","3:08:42","34","34","34",11322,"S A Mellor Jr",""
"J B Webster","0","M","","00:07:12","3:08:55","35","35","35",11335,"J B Webster",""
"Gust Vass","0","M","","00:07:13","3:09:33","36","36","36",11373,"Gust","Vass"
"Arthur Condreault","0","M","","00:07:13","3:09:35","37","37","37",11375,"Arthur","Condreault"
"Fred L Novak","0","M","","00:07:17","3:11:01","38","38","38",11461,"Fred L Novak",""
"W Cunningham","0","M","","00:07:19","3:12:13","39","39","39",11533,"W","Cunningham"
"Ernest Boscomber","0","M","","00:07:21","3:13:00","40","40","40",11580,"Ernest","Boscomber"
