"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Doroteo Flores","0","M","Guatemala","00:05:47","2:31:53","1","1","1",9113,"Doroteo","Flores"
"Victor Dyrgall","0","M","New York","00:05:58","2:36:40","2","2","2",9400,"Victor","Dyrgall"
"Luis Velasquez","0","M","Guatemala","00:06:06","2:40:08","3","3","3",9608,"Luis","Velasquez"
"Thomas Jones","0","M","Pennsylvania","00:06:14","2:43:29","4","4","4",9809,"Thomas","Jones"
"Norman Tamamaha","0","M","Hawaii","00:06:33","2:51:55","5","5","5",10315,"Norman","Tamamaha"
"Theodore Corbitt","0","M","New York","00:06:37","2:53:31","6","6","6",10411,"Theodore","Corbitt"
"Sevki Koru","0","M","Turkey","00:06:38","2:54:15","7","7","7",10455,"Sevki","Koru"
"Edo Romognoli","0","M","New York","00:06:46","2:57:28","8","8","8",10648,"Edo","Romognoli"
"Louis White","0","M","New York","00:06:48","2:58:24","9","9","9",10704,"Louis","White"
"Arnold Briggs","0","M","New York","00:06:49","2:58:46","10","10","10",10726,"Arnold","Briggs"
"John Lafferty","0","M","Massachusetts","00:07:02","3:04:40","11","11","11",11080,"John","Lafferty"
"John Kelley","0","M","Massachusetts","00:07:03","3:04:59","12","12","12",11099,"John","Kelley"
"Michael O'Hara","0","M","New York","00:07:05","3:05:57","13","13","13",11157,"Michael","O'Hara"
"Aldo Scandurra","0","M","New York","00:07:11","3:08:30","14","14","14",11310,"Aldo","Scandurra"
"Bill Steiner","0","M","New York","00:07:14","3:09:41","15","15","15",11381,"Bill","Steiner"
"John DiCommandrea","0","M","Michigan","00:07:19","3:12:01","16","16","16",11521,"John","DiCommandrea"
"Alfred Confalone","0","M","Massachusetts","00:07:21","3:12:59","17","17","17",11579,"Alfred","Confalone"
"Charles Robbins","0","M","New York","00:07:23","3:13:45","18","18","18",11625,"Charles","Robbins"
"J Browning Ross","0","M","Pennsylvania","00:07:34","3:18:35","19","19","19",11915,"J Browning Ross",""
"John Lizak","0","M","Massachusetts","00:07:40","3:21:18","20","20","20",12078,"John","Lizak"
"Leo Giard","0","M","Massachusetts","00:07:42","3:22:09","21","21","21",12129,"Leo","Giard"
"Tom Crane","0","M","Massachusetts","00:07:44","3:22:54","22","22","22",12174,"Tom","Crane"
"Stanley Lindner","0","M","Pennsylvania","00:07:49","3:25:21","23","23","23",12321,"Stanley","Lindner"
"Martin Shepard","0","M","New York","00:07:52","3:26:29","24","24","24",12389,"Martin","Shepard"
"George Gallant","0","M","Canada","00:07:56","3:28:08","25","25","25",12488,"George","Gallant"
"Walter Berger","0","M","New York","00:07:56","3:28:09","26","26","26",12489,"Walter","Berger"
"Guillermo Rojas","0","M","Guatemala","00:08:04","3:31:46","27","27","27",12706,"Guillermo","Rojas"
"Gordon Gilmour","0","M","Canada","00:08:17","3:37:32","28","28","28",13052,"Gordon","Gilmour"
"Timothy Sullivan","0","M","Massachusetts","00:08:21","3:39:21","29","29","29",13161,"Timothy","Sullivan"
"Alabama Fleming","0","M","Rhode Island","00:08:29","3:42:40","30","30","30",13360,"Alabama","Fleming"
"George Kouri","0","M","New York","00:08:29","3:42:41","31","31","31",13361,"George","Kouri"
"George Younis","0","M","Massachusetts","00:08:33","3:44:37","32","32","32",13477,"George","Younis"
"Ernest Morse","0","M","Massachusetts","00:08:37","3:46:13","33","33","33",13573,"Ernest","Morse"
"John Dick","0","M","Wisconsin","00:08:39","3:47:00","34","34","34",13620,"John","Dick"
