"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Gerard A Cote","0","M","Canada","00:05:39","2:28:28","1","1","1",8908,"Gerard A Cote",""
"John A Kelley","0","M","Massachusetts","00:05:47","2:32:03","2","2","2",9123,"John A Kelley",""
"Don Heinicke","0","M","Maryland","00:05:48","2:32:21","3","3","3",9141,"Don","Heinicke"
"Leslie S Pawson","0","M","Rhode Island","00:05:50","2:33:09","4","4","4",9189,"Leslie S Pawson",""
"Paul Donato","0","M","Massachusetts","00:05:54","2:34:54","5","5","5",9294,"Paul","Donato"
"Andre J Brunelle","0","M","Massachusetts","00:05:55","2:35:20","6","6","6",9320,"Andre J Brunelle",""
"Robert S Rankine","0","M","Canada","00:06:00","2:37:44","7","7","7",9464,"Robert S Rankine",""
"Fred A McGlone","0","M","Massachusetts","00:06:01","2:37:49","8","8","8",9469,"Fred A McGlone",""
"George L Durgin","0","M","Massachusetts","00:06:02","2:38:21","9","9","9",9501,"George L Durgin",""
"Frank M Darrah","0","M","Massachusetts","00:06:14","2:43:38","10","10","10",9818,"Frank M Darrah",""
"Augustas Johnson","0","M","New York","00:06:15","2:44:01","11","11","11",9841,"Augustas","Johnson"
"Joseph Biaggie","0","M","Massachusetts","00:06:16","2:44:31","12","12","12",9871,"Joseph","Biaggie"
"Ellison M Brown","0","M","Rhode Island","00:06:17","2:44:45","13","13","13",9885,"Ellison M Brown",""
"Louis Young","0","M","Massachusetts","00:06:17","2:44:57","14","14","14",9897,"Louis","Young"
"Anthony Medeiros","0","M","Massachusetts","00:06:24","2:48:14","15","15","15",10094,"Anthony","Medeiros"
"Joseph Smith","0","M","Massachusetts","00:06:26","2:48:52","16","16","16",10132,"Joseph","Smith"
"Lloyd Evans","0","M","Canada","00:06:26","2:48:55","17","17","17",10135,"Lloyd","Evans"
"William Smallcombe","0","M","Canada","00:06:30","2:50:26","18","18","18",10226,"William","Smallcombe"
"Italo Amicangioli","0","M","Massachusetts","00:06:31","2:51:02","19","19","19",10262,"Italo","Amicangioli"
"Anthony Paskell","0","M","Massachusetts","00:06:31","2:51:05","20","20","20",10265,"Anthony","Paskell"
"Ray Elano","0","M","Massachusetts","00:06:32","2:51:37","21","21","21",10297,"Ray","Elano"
"Daniel F Cox","0","M","Massachusetts","00:06:34","2:52:12","22","22","22",10332,"Daniel F Cox",""
"Roy Palmer","0","M","Canada","00:06:35","2:52:55","23","23","23",10375,"Roy","Palmer"
"Michael J O'Hara","0","M","New York","00:06:36","2:53:15","24","24","24",10395,"Michael J O'Hara",""
"George Patrokos","0","M","Massachusetts","00:06:37","2:53:32","25","25","25",10412,"George","Patrokos"
"William Panvo Wicklund","0","M","New York","00:06:39","2:54:46","26","26","26",10486,"William Panvo Wicklund",""
"Clarence H DeMar","0","M","New Hampshire","00:06:41","2:55:32","27","27","27",10532,"Clarence H DeMar",""
"Robert Wallace","0","M","California","00:06:42","2:55:45","28","28","28",10545,"Robert","Wallace"
"John Semple","0","M","Massachusetts","00:06:47","2:58:10","29","29","29",10690,"John","Semple"
"Martin Fitzpatrick","0","M","Massachusetts","00:06:57","3:02:23","30","30","30",10943,"Martin","Fitzpatrick"
"Walter Emery","0","M","Massachusetts","00:06:57","3:02:39","31","31","31",10959,"Walter","Emery"
"Clarence W Bowley Jr","0","M","Maine","00:07:01","3:04:17","32","32","32",11057,"Clarence W Bowley Jr",""
