"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"John C Miles","0","M","Canada","00:05:33","2:25:40","1","1","1",8740,"John C Miles",""
"Albin Stenroos","0","M","Finland","00:05:42","2:29:40","2","2","2",8980,"Albin","Stenroos"
"Clarence H DeMar","0","M","Massachusetts","00:05:48","2:32:15","3","3","3",9135,"Clarence H DeMar",""
"Albert R Michelson","0","M","New York","00:05:52","2:34:03","4","4","4",9243,"Albert R Michelson",""
"Wallie Carlson","0","M","Massachusetts","00:06:07","2:40:35","5","5","5",9635,"Wallie","Carlson"
"Karl Koski","0","M","New York","00:06:09","2:41:22","6","6","6",9682,"Karl","Koski"
"Nestor Erickson","0","M","New York","00:06:12","2:42:35","7","7","7",9755,"Nestor","Erickson"
"William J (Bill) Kennedy","0","M","New York","00:06:15","2:44:01","8","8","8",9841,"William J (Bill) Kennedy",""
"J Foxcraft Carleton","0","M","Massachusetts","00:06:16","2:44:20","9","9","9",9860,"J Foxcraft Carleton",""
"Arthur R Scholes","0","M","Canada","00:06:24","2:48:14","10","10","10",10094,"Arthur R Scholes",""
"Thomas E Quinlan","0","M","Massachusetts","00:06:37","2:53:32","11","11","11",10412,"Thomas E Quinlan",""
"Christopher Bolekis","0","M","Massachusetts","00:06:40","2:54:49","12","12","12",10489,"Christopher","Bolekis"
"James A Dellow","0","M","Canada","00:06:40","2:54:52","13","13","13",10492,"James A Dellow",""
"Francis T O'Donnell","0","M","Canada","00:06:41","2:55:29","14","14","14",10529,"Francis T O'Donnell",""
"Michael J Lynch","0","M","District of Columbia","00:06:44","2:56:46","15","15","15",10606,"Michael J Lynch",""
"Harvey Frick","0","M","New York","00:06:45","2:57:25","16","16","16",10645,"Harvey","Frick"
"Horatio A Stanton","0","M","Rhode Island","00:06:50","2:59:14","17","17","17",10754,"Horatio A Stanton",""
"S Richman","0","M","New York","00:06:54","3:01:07","18","18","18",10867,"S","Richman"
"Jerry Callahan","0","M","Massachusetts","00:06:55","3:01:29","19","19","19",10889,"Jerry","Callahan"
"John Rosi","0","M","New York","00:06:59","3:03:28","20","20","20",11008,"John","Rosi"
"Herbert B Howard","0","M","Massachusetts","00:07:00","3:03:48","21","21","21",11028,"Herbert B Howard",""
"Charles A Snell","0","M","Canada","00:07:01","3:04:10","22","22","22",11050,"Charles A Snell",""
"Daniel C Hutchinson","0","M","Massachusetts","00:07:01","3:04:11","23","23","23",11051,"Daniel C Hutchinson",""
"Stanley P Davee","0","M","Massachusetts","00:07:09","3:07:38","24","24","24",11258,"Stanley P Davee",""
"Everett Wood","0","M","Massachusetts","00:07:09","3:07:39","25","25","25",11259,"Everett","Wood"
"Walter Colton","0","M","Massachusetts","00:07:13","3:09:33","26","26","26",11373,"Walter","Colton"
"Clovis Bourdelais","0","M","Massachusetts","00:07:16","3:10:44","27","27","27",11444,"Clovis","Bourdelais"
"Raymond E Karr","0","M","Massachusetts","00:07:17","3:11:18","28","28","28",11478,"Raymond E Karr",""
"Henry Kanto","0","M","New Hampshire","00:07:23","3:13:42","29","29","29",11622,"Henry","Kanto"
"George Courtovich","0","M","","00:07:28","3:16:04","30","30","30",11764,"George","Courtovich"
"John Salo","0","M","New York","00:07:29","3:16:21","31","31","31",11781,"John","Salo"
"Eddie Lyons","0","M","Massachusetts","00:07:32","3:17:42","32","32","32",11862,"Eddie","Lyons"
"John E Holmy","0","M","Massachusetts","00:07:33","3:18:09","33","33","33",11889,"John E Holmy",""
"Raymond Lareau","0","M","Massachusetts","00:07:35","3:18:56","34","34","34",11936,"Raymond","Lareau"
"Demetrios Costopoulos","0","M","Massachusetts","00:07:39","3:21:00","35","35","35",12060,"Demetrios","Costopoulos"
