"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"William J Kennedy","0","M","","00:05:40","2:28:37","1","1","1",8917,"William J Kennedy",""
"Sidney H Hatch","0","M","","00:05:43","2:30:19","2","2","2",9019,"Sidney H Hatch",""
"Clarence H DeMar","0","M","","00:05:45","2:31:05","3","3","3",9065,"Clarence H DeMar",""
"Hannes Kolehmainen","0","M","","00:05:47","2:31:58","4","4","4",9118,"Hannes","Kolehmainen"
"A F Merchant","0","M","","00:05:57","2:36:20","5","5","5",9380,"A F Merchant",""
"Charles G Mellor","0","M","","00:05:57","2:36:24","6","6","6",9384,"Charles G Mellor",""
"Hans Schuster","0","M","","00:06:00","2:37:28","7","7","7",9448,"Hans","Schuster"
"Carl W A Linder","0","M","","00:06:03","2:38:38","8","8","8",9518,"Carl W A Linder",""
"Michael J Lynch","0","M","","00:06:06","2:40:06","9","9","9",9606,"Michael J Lynch",""
"Prescot M Dean","0","M","","00:06:16","2:44:28","10","10","10",9868,"Prescot M Dean",""
"Leroy Davis","0","M","","00:06:16","2:44:28","10","10","10",9868,"Leroy","Davis"
"A V Roth","0","M","","00:06:18","2:45:29","12","12","12",9929,"A V Roth",""
"J M Mullen","0","M","","00:06:27","2:49:23","13","13","13",10163,"J M Mullen",""
"W D Brown","0","M","","00:06:31","2:51:11","14","14","14",10271,"W D Brown",""
"G Costarakis","0","M","","00:06:35","2:52:59","15","15","15",10379,"G","Costarakis"
"C A Leventhal","0","M","","00:06:37","2:53:32","16","16","16",10412,"C A Leventhal",""
"G B Moss","0","M","","00:06:42","2:56:06","17","17","17",10566,"G B Moss",""
"G Richards","0","M","","00:06:44","2:56:47","18","18","18",10607,"G","Richards"
"H Kanto","0","M","","00:06:54","3:00:58","19","19","19",10858,"H","Kanto"
"H Spies","0","M","","00:07:00","3:03:40","20","20","20",11020,"H","Spies"
