"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Ron Hill","0","M","","00:04:58","2:10:30","1","1","1",7830,"Ron","Hill"
"Eamon O'Reilly","0","M","","00:05:00","2:11:12","2","2","2",7872,"Eamon","O'Reilly"
"Patrick McMahon","0","M","","00:05:08","2:14:53","3","3","3",8093,"Patrick","McMahon"
"Penti Rummakko","0","M","","00:05:08","2:14:59","4","4","4",8099,"Penti","Rummakko"
"Kalle Harkkaraainen","0","M","","00:05:19","2:19:42","5","5","5",8382,"Kalle","Harkkaraainen"
"Kenneth Moore","0","M","","00:05:19","2:19:47","6","6","6",8387,"Kenneth","Moore"
"Robert (Bob) Moore","0","M","","00:05:20","2:20:07","7","7","7",8407,"Robert (Bob) Moore",""
"Andrew Boychuk","0","M","","00:05:22","2:21:06","8","8","8",8466,"Andrew","Boychuk"
"William Clark","0","M","","00:05:25","2:22:17","9","9","9",8537,"William","Clark"
"Wayne Yetman","0","M","","00:05:26","2:22:32","10","10","10",8552,"Wayne","Yetman"
"Gary Harrison","0","M","","00:05:27","2:23:18","11","11","11",8598,"Gary","Harrison"
"Edward Walkwitz","0","M","","00:05:28","2:23:26","12","12","12",8606,"Edward","Walkwitz"
"Kerry Ragg","0","M","","00:05:28","2:23:45","13","13","13",8625,"Kerry","Ragg"
"William Speck","0","M","","00:05:31","2:24:43","14","14","14",8683,"William","Speck"
"Robert Deiner","0","M","","00:05:31","2:24:50","15","15","15",8690,"Robert","Deiner"
"Amby Burfoot","0","M","Mystic","00:05:32","2:25:27","16","16","16",8727,"Amby","Burfoot"
"Kunio Fujita","0","M","","00:05:33","2:25:50","17","17","17",8750,"Kunio","Fujita"
"Harry G Balthis Jr","0","M","","00:05:37","2:27:29","18","18","18",8849,"Harry G Balthis Jr",""
"Steve Dean","0","M","","00:05:37","2:27:37","19","19","19",8857,"Steve","Dean"
"Jose Garcia","0","M","","00:05:37","2:27:42","20","20","20",8862,"Jose","Garcia"
"Rafael Perez","0","M","","00:05:38","2:28:06","21","21","21",8886,"Rafael","Perez"
"James Colvin","0","M","","00:05:39","2:28:09","22","22","22",8889,"James","Colvin"
"Moses Mayfield Jr","0","M","","00:05:39","2:28:14","23","23","23",8894,"Moses Mayfield Jr",""
"Frederick W Best","0","M","","00:05:39","2:28:20","24","24","24",8900,"Frederick W Best",""
"Virgil E Yehnert","0","M","","00:05:39","2:28:27","25","25","25",8907,"Virgil E Yehnert",""
"Peter G Stipe","0","M","","00:05:39","2:28:31","26","26","26",8911,"Peter G Stipe",""
"Danny Cole","0","M","","00:05:40","2:28:35","27","27","27",8915,"Danny","Cole"
"A Gary Muhrcke","0","M","","00:05:40","2:28:37","28","28","28",8917,"A Gary Muhrcke",""
"Jim McDonagh","0","M","","00:05:40","2:28:49","29","29","29",8929,"Jim","McDonagh"
"S Marshall Adams","0","M","","00:05:41","2:29:09","30","30","30",8949,"S Marshall Adams",""
"Tom J Derderian","0","M","","00:05:43","2:29:57","31","31","31",8997,"Tom J Derderian",""
"Raymond Will","0","M","","00:05:43","2:30:08","32","32","32",9008,"Raymond","Will"
"Gar Williams","0","M","","00:05:44","2:30:23","33","33","33",9023,"Gar","Williams"
"Jack Leydig","0","M","","00:05:45","2:30:52","34","34","34",9052,"Jack","Leydig"
"Phil Ryan","0","M","","00:05:45","2:31:07","35","35","35",9067,"Phil","Ryan"
"John Mowatt","0","M","","00:05:46","2:31:14","36","36","36",9074,"John","Mowatt"
"Kenneth Mueller","0","M","","00:05:46","2:31:16","37","37","37",9076,"Kenneth","Mueller"
"William J Harvey","0","M","","00:05:46","2:31:27","38","38","38",9087,"William J Harvey",""
"Paul J Bernstein","0","M","","00:05:47","2:31:47","39","39","39",9107,"Paul J Bernstein",""
"Louis H Paul Jr","0","M","","00:05:47","2:31:57","40","40","40",9117,"Louis H Paul Jr",""
"Gerald Teal","0","M","","00:05:47","2:32:00","41","41","41",9120,"Gerald","Teal"
"Neil Coville","0","M","","00:05:48","2:32:21","42","42","42",9141,"Neil","Coville"
"Larry Fuselier","0","M","","00:05:48","2:32:27","43","43","43",9147,"Larry","Fuselier"
"Kenneth L Kling","0","M","","00:05:49","2:32:34","44","44","44",9154,"Kenneth L Kling",""
"Eric Walther","0","M","","00:05:49","2:32:38","45","45","45",9158,"Eric","Walther"
"Victoriano Lopez","0","M","","00:05:49","2:32:44","46","46","46",9164,"Victoriano","Lopez"
"Ron Daws","0","M","","00:05:50","2:33:04","47","47","47",9184,"Ron","Daws"
"Carl E Hereford","0","M","","00:05:50","2:33:09","48","48","48",9189,"Carl E Hereford",""
"Carlos Cuque","0","M","","00:05:51","2:33:31","49","49","49",9211,"Carlos","Cuque"
"Alan J Haas","0","M","","00:05:51","2:33:35","50","50","50",9215,"Alan J Haas",""
"Calum Lain","0","M","","00:05:51","2:33:35","50","50","50",9215,"Calum","Lain"
"Charles E Koeppen","0","M","","00:05:52","2:34:05","52","52","52",9245,"Charles E Koeppen",""
"H Douglas Butts","0","M","","00:05:53","2:34:19","53","53","53",9259,"H Douglas Butts",""
"Jimmy Howell","0","M","","00:05:54","2:34:51","54","54","54",9291,"Jimmy","Howell"
"Kochichi Uchino","0","M","","00:05:54","2:34:53","55","55","55",9293,"Kochichi","Uchino"
"Phillip C Calon","0","M","","00:05:54","2:35:06","56","56","56",9306,"Phillip C Calon",""
"Michael Stine","0","M","","00:05:55","2:35:13","57","57","57",9313,"Michael","Stine"
"Lorne A Buck","0","M","","00:05:55","2:35:21","58","58","58",9321,"Lorne A Buck",""
"Vincent J Chiapetta","0","M","","00:05:56","2:35:40","59","59","59",9340,"Vincent J Chiapetta",""
"William N Heiderman","0","M","","00:05:57","2:36:17","60","60","60",9377,"William N Heiderman",""
"William M McGar","0","M","","00:05:57","2:36:20","61","61","61",9380,"William M McGar",""
"Kriss Cronin","0","M","","00:05:58","2:36:35","62","62","62",9395,"Kriss","Cronin"
"John J Kelley","0","M","","00:05:58","2:36:50","63","63","63",9410,"John J Kelley",""
"Norman P Patenaude","0","M","","00:05:59","2:37:08","64","64","64",9428,"Norman P Patenaude",""
"Allieu Massequoi","0","M","","00:05:59","2:37:10","65","65","65",9430,"Allieu","Massequoi"
"John W Pagliano","0","M","","00:05:59","2:37:17","66","66","66",9437,"John W Pagliano",""
"Richard Schultz","0","M","","00:06:00","2:37:27","67","67","67",9447,"Richard","Schultz"
"Thomas J Fleming","0","M","","00:06:00","2:37:36","68","68","68",9456,"Thomas J Fleming",""
"Frustin Baron","0","M","","00:06:01","2:37:51","69","69","69",9471,"Frustin","Baron"
"Ronald Gaff","0","M","","00:06:01","2:38:01","70","70","70",9481,"Ronald","Gaff"
"Lawrence Berman","0","M","","00:06:01","2:38:03","71","71","71",9483,"Lawrence","Berman"
"John W Stewart","0","M","","00:06:01","2:38:11","72","72","72",9491,"John W Stewart",""
"Raymond Hall","0","M","","00:06:02","2:38:15","73","73","73",9495,"Raymond","Hall"
"Robert E Thurston","0","M","","00:06:02","2:38:29","74","74","74",9509,"Robert E Thurston",""
"Hugh B Sceney","0","M","","00:06:03","2:38:39","75","75","75",9519,"Hugh B Sceney",""
"David S Harrison","0","M","","00:06:03","2:38:46","76","76","76",9526,"David S Harrison",""
"Patrick Bastick","0","M","","00:06:03","2:38:57","77","77","77",9537,"Patrick","Bastick"
"Terence Gallagher","0","M","","00:06:04","2:39:17","78","78","78",9557,"Terence","Gallagher"
"Alexander M Turner","0","M","","00:06:04","2:39:20","79","79","79",9560,"Alexander M Turner",""
"Frederick J van Eden","0","M","","00:06:05","2:39:37","80","80","80",9577,"Frederick J van Eden",""
"Patrick D Lanin","0","M","","00:06:05","2:39:47","81","81","81",9587,"Patrick D Lanin",""
"John A Jarek","0","M","","00:06:06","2:40:03","82","82","82",9603,"John A Jarek",""
"Mike Day","0","M","","00:06:06","2:40:16","83","83","83",9616,"Mike","Day"
"William G Gordon","0","M","","00:06:07","2:40:29","84","84","84",9629,"William G Gordon",""
"Peter Lever","0","M","","00:06:07","2:40:46","85","85","85",9646,"Peter","Lever"
"Charles Keating","0","M","","00:06:08","2:40:50","86","86","86",9650,"Charles","Keating"
"James W Hartnett","0","M","","00:06:08","2:41:08","87","87","87",9668,"James W Hartnett",""
"Norman F Marincio","0","M","","00:06:08","2:41:14","88","88","88",9674,"Norman F Marincio",""
"Russell Holt","0","M","","00:06:09","2:41:19","89","89","89",9679,"Russell","Holt"
"Charles W Bradley","0","M","","00:06:09","2:41:29","90","90","90",9689,"Charles W Bradley",""
"William S Ormerod","0","M","","00:06:09","2:41:31","91","91","91",9691,"William S Ormerod",""
"Raymond Menzie","0","M","","00:06:09","2:41:34","92","92","92",9694,"Raymond","Menzie"
"William Van Dyke Jr","0","M","","00:06:09","2:41:37","93","93","93",9697,"William Van Dyke Jr",""
"Victor J Matthews","0","M","","00:06:10","2:41:43","94","94","94",9703,"Victor J Matthews",""
"John Valentine","0","M","","00:06:12","2:42:57","95","95","95",9777,"John","Valentine"
"Hal Higdon","0","M","","00:06:13","2:43:13","96","96","96",9793,"Hal","Higdon"
"John G Wanecke","0","M","","00:06:13","2:43:25","97","97","97",9805,"John G Wanecke",""
"David B Odell","0","M","","00:06:13","2:43:25","97","97","97",9805,"David B Odell",""
"William H B Howard","0","M","","00:06:14","2:43:30","99","99","99",9810,"William H B Howard",""
