"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Gerard A Cote","0","M","Canada","00:05:45","2:31:02","1","1","1",9062,"Gerard A Cote",""
"Theodore J Vogel","0","M","Massachusetts","00:05:47","2:31:46","2","2","2",9106,"Theodore J Vogel",""
"Jesse H Van Zant","0","M","Massachusetts","00:05:59","2:36:53","3","3","3",9413,"Jesse H Van Zant",""
"John A Kelley","0","M","Massachusetts","00:06:01","2:37:52","4","4","4",9472,"John A Kelley",""
"Ollie Manninen","0","M","Massachusetts","00:06:06","2:39:59","5","5","5",9599,"Ollie","Manninen"
"Lloyd Evans","0","M","Canada","00:06:08","2:41:05","6","6","6",9665,"Lloyd","Evans"
"Walter Fedorick","0","M","Canada","00:06:09","2:41:23","7","7","7",9683,"Walter","Fedorick"
"Luis Velasquez","0","M","Guatemala","00:06:09","2:41:27","8","8","8",9687,"Luis","Velasquez"
"E David Mazzeo","0","M","Maine","00:06:13","2:43:15","9","9","9",9795,"E David Mazzeo",""
"Warren Dupree","0","M","","00:06:14","2:43:42","10","10","10",9822,"Warren","Dupree"
"Enrique Castillo","0","M","Guatemala","00:06:16","2:44:38","11","11","11",9878,"Enrique","Castillo"
"Tony Medeiros","0","M","Massachusetts","00:06:18","2:45:33","12","12","12",9933,"Tony","Medeiros"
"Paul A Collins","0","M","New York","00:06:22","2:47:00","13","13","13",10020,"Paul A Collins",""
"Charles A Robbins Jr","0","M","Connecticut","00:06:26","2:48:44","14","14","14",10124,"Charles A Robbins Jr",""
"Louis White","0","M","New York","00:06:26","2:49:07","15","15","15",10147,"Louis","White"
"William Steiner","0","M","New York","00:06:30","2:50:52","16","16","16",10252,"William","Steiner"
"Louis Bolg","0","M","New York","00:06:37","2:53:35","17","17","17",10415,"Louis","Bolg"
"Theodore Horne","0","M","Massachusetts","00:06:39","2:54:30","18","18","18",10470,"Theodore","Horne"
"Louis Young","0","M","Massachusetts","00:06:42","2:55:46","19","19","19",10546,"Louis","Young"
"David Hudson","0","M","Massachusetts","00:06:42","2:56:01","20","20","20",10561,"David","Hudson"
"William Grube","0","M","Ohio","00:06:43","2:56:07","21","21","21",10567,"William","Grube"
"Royce Sawyer","0","M","Massachusetts","00:06:43","2:56:18","22","22","22",10578,"Royce","Sawyer"
"Cecil S Earnest","0","M","UNKNOWN","00:06:43","2:56:24","23","23","23",10584,"Cecil S Earnest",""
"Michael O'Hara","0","M","New York","00:06:44","2:56:56","24","24","24",10616,"Michael","O'Hara"
"Harry Murphy","0","M","New York","00:06:46","2:57:34","25","25","25",10654,"Harry","Murphy"
"Walter Beiger","0","M","New York","00:06:50","2:59:20","26","26","26",10760,"Walter","Beiger"
"Fred Ward","0","M","New Jersey","00:06:51","2:59:45","27","27","27",10785,"Fred","Ward"
"Claude M Gillis Jr","0","M","Massachusetts","00:06:51","2:59:56","28","28","28",10796,"Claude M Gillis Jr",""
"Marcos Yoc","0","M","Guatemala","00:06:53","3:00:32","29","29","29",10832,"Marcos","Yoc"
"Can Van Dorpe","0","M","New Jersey","00:06:54","3:01:03","30","30","30",10863,"Can Van Dorpe",""
"Paul Donato","0","M","","00:06:55","3:01:45","31","31","31",10905,"Paul","Donato"
"Arnold G Briggs","0","M","New York","00:07:07","3:06:45","32","32","32",11205,"Arnold G Briggs",""
"John Kersnason","0","M","New York","00:07:10","3:07:57","33","33","33",11277,"John","Kersnason"
"Paul E Gosselin","0","M","Canada","00:07:13","3:09:23","34","34","34",11363,"Paul E Gosselin",""
"Lucien Jolin","0","M","Canada","00:07:25","3:14:40","35","35","35",11680,"Lucien","Jolin"
"Kenneth L O'Connell","0","M","Ohio","00:07:27","3:15:42","36","36","36",11742,"Kenneth L O'Connell",""
"Wang Chen Ling","0","M","China","00:07:27","3:15:45","37","37","37",11745,"Wang Chen Ling",""
"John Lizak","0","M","Massachusetts","00:07:36","3:19:26","38","38","38",11966,"John","Lizak"
"Ted Woods","0","M","Massachusetts","00:07:38","3:20:30","39","39","39",12030,"Ted","Woods"
"John A Dick","0","M","Wisconsin","00:07:40","3:21:12","40","40","40",12072,"John A Dick",""
"Edward A Romagnoli","0","M","New York","00:07:42","3:22:17","41","41","41",12137,"Edward A Romagnoli",""
"Tom Crane","0","M","Massachusetts","00:07:43","3:22:30","42","42","42",12150,"Tom","Crane"
"Fred W Brown","0","M","Massachusetts","00:07:43","3:22:45","43","43","43",12165,"Fred W Brown",""
"Young Wahoo Fraser","0","M","New York","00:07:45","3:23:16","44","44","44",12196,"Young Wahoo Fraser",""
"Edwain V B Pilgrim","0","M","Canada","00:07:45","3:23:37","45","45","45",12217,"Edwain V B Pilgrim",""
"John A Dunn","0","M","Massachusetts","00:07:49","3:25:12","46","46","46",12312,"John A Dunn",""
"Victor Greenquist","0","M","Massachusetts","00:07:52","3:26:22","47","47","47",12382,"Victor","Greenquist"
"P B Gough","0","M","Canada","00:07:58","3:29:07","48","48","48",12547,"P B Gough",""
"Andrew MacCone","0","M","California","00:08:06","3:32:23","49","49","49",12743,"Andrew","MacCone"
"Aldo M Scandurra","0","M","New York","00:08:08","3:33:20","50","50","50",12800,"Aldo M Scandurra",""
"Clarence DeMar","0","M","Massachusetts","00:08:17","3:37:25","51","51","51",13045,"Clarence","DeMar"
