"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Charles L (Chuck) Mellor","0","M","Illinois","00:06:01","2:38:04","1","1","1",9484,"Charles L (Chuck) Mellor",""
"Clarence H DeMar","0","M","Massachusetts","00:06:05","2:39:34","2","2","2",9574,"Clarence H DeMar",""
"Willie Kyronen","0","M","New York","00:06:07","2:40:36","3","3","3",9636,"Willie","Kyronen"
"Victor MacAuley","0","M","Canada","00:06:11","2:42:14","4","4","4",9734,"Victor","MacAuley"
"Frank T Zuna","0","M","New Jersey","00:06:12","2:42:35","5","5","5",9755,"Frank T Zuna",""
"Nestor Erickson","0","M","New York","00:06:13","2:43:08","6","6","6",9788,"Nestor","Erickson"
"Albert R Michelson","0","M","New York","00:06:14","2:43:40","7","7","7",9820,"Albert R Michelson",""
"William J (Bill) Kennedy","0","M","New York","00:06:14","2:43:46","8","8","8",9826,"William J (Bill) Kennedy",""
"Karl Koski","0","M","New York","00:06:15","2:44:00","9","9","9",9840,"Karl","Koski"
"Frank E Wendling","0","M","New York","00:06:26","2:48:59","10","10","10",10139,"Frank E Wendling",""
"Silas McLellan","0","M","Canada","00:06:28","2:49:57","11","11","11",10197,"Silas","McLellan"
"Carl Linder","0","M","Massachusetts","00:06:30","2:50:33","12","12","12",10233,"Carl","Linder"
"John Rosi","0","M","New York","00:06:32","2:51:28","13","13","13",10288,"John","Rosi"
"J Foxcroft Carleton","0","M","Massachusetts","00:06:34","2:52:21","14","14","14",10341,"J Foxcroft Carleton",""
"George Duncan","0","M","Massachusetts","00:06:40","2:54:49","15","15","15",10489,"George","Duncan"
"Thomas E Quinlan","0","M","Massachusetts","00:06:40","2:54:59","16","16","16",10499,"Thomas E Quinlan",""
"Horatio S Stanton","0","M","Rhode Island","00:06:47","2:58:17","17","17","17",10697,"Horatio S Stanton",""
"Hugo Kauppinen","0","M","New York","00:06:50","2:59:15","18","18","18",10755,"Hugo","Kauppinen"
"Ralph E Mumma","0","M","Ohio","00:06:50","2:59:34","19","19","19",10774,"Ralph E Mumma",""
"George H Johnson","0","M","New York","00:07:00","3:03:36","20","20","20",11016,"George H Johnson",""
"William Rozett","0","M","New York","00:07:01","3:04:04","21","21","21",11044,"William","Rozett"
"Ralph R Smith","0","M","Massachusetts","00:07:01","3:04:16","22","22","22",11056,"Ralph R Smith",""
"Christoper Bolekos","0","M","Massachusetts","00:07:03","3:04:57","23","23","23",11097,"Christoper","Bolekos"
"Leon S Haymond","0","M","District of Columbia","00:07:08","3:07:03","24","24","24",11223,"Leon S Haymond",""
"Henry Kanto","0","M","New Hampshire","00:07:08","3:07:25","25","25","25",11245,"Henry","Kanto"
"Frank Vasilopoulos","0","M","New York","00:07:10","3:08:17","26","26","26",11297,"Frank","Vasilopoulos"
"Eddie Lyons","0","M","Massachusetts","00:07:16","3:10:38","27","27","27",11438,"Eddie","Lyons"
"J J Callahan","0","M","UNKNOWN","00:07:22","3:13:24","28","28","28",11604,"J J Callahan",""
"Harold Goslin","0","M","Massachusetts","00:07:23","3:13:38","29","29","29",11618,"Harold","Goslin"
"Frank Juvonen","0","M","Massachusetts","00:07:24","3:14:10","30","30","30",11650,"Frank","Juvonen"
"Frank Martin","0","M","New York","00:07:28","3:15:47","31","31","31",11747,"Frank","Martin"
"Samuel D Richman","0","M","New York","00:07:29","3:16:35","32","32","32",11795,"Samuel D Richman",""
"William Kaskila","0","M","New York","00:07:31","3:17:19","33","33","33",11839,"William","Kaskila"
"Herbert B Howard","0","M","Massachusetts","00:07:34","3:18:41","34","34","34",11921,"Herbert B Howard",""
"Frank A Cellini","0","M","Massachusetts","00:07:36","3:19:27","35","35","35",11967,"Frank A Cellini",""
"W N Leach","0","M","Massachusetts","00:07:36","3:19:35","36","36","36",11975,"W N Leach",""
