"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Leslie S Pawson","0","M","Rhode Island","00:05:45","2:31:01","1","1","1",9061,"Leslie S Pawson",""
"Dave Komonen","0","M","Canada","00:05:58","2:36:27","2","2","2",9387,"Dave","Komonen"
"Richard Wilding","0","M","Canada","00:06:01","2:38:00","3","3","3",9480,"Richard","Wilding"
"Harold Webster","0","M","Canada","00:06:02","2:38:31","4","4","4",9511,"Harold","Webster"
"Willie Kyronen","0","M","New York","00:06:05","2:39:50","5","5","5",9590,"Willie","Kyronen"
"Albert R Michelson","0","M","New York","00:06:07","2:40:27","6","6","6",9627,"Albert R Michelson",""
"Walter T Hornby","0","M","Canada","00:06:09","2:41:32","7","7","7",9692,"Walter T Hornby",""
"Clarence H DeMar","0","M","New Hampshire","00:06:13","2:43:18","8","8","8",9798,"Clarence H DeMar",""
"John DeGloria","0","M","New York","00:06:13","2:43:20","9","9","9",9800,"John","DeGloria"
"Hugo Kauppinen","0","M","New York","00:06:19","2:46:01","10","10","10",9961,"Hugo","Kauppinen"
"Fred Ward","0","M","New York","00:06:20","2:46:08","11","11","11",9968,"Fred","Ward"
"Norman Dack","0","M","Canada","00:06:20","2:46:12","12","12","12",9972,"Norman","Dack"
"Johnny Semple","0","M","Massachusetts","00:06:22","2:46:59","13","13","13",10019,"Johnny","Semple"
"Frank Dengis","0","M","Maryland","00:06:22","2:47:09","14","14","14",10029,"Frank","Dengis"
"W Keene Frick","0","M","New Hampshire","00:06:23","2:47:44","15","15","15",10064,"W Keene Frick",""
"Frank Hupal","0","M","Connecticut","00:06:24","2:47:52","16","16","16",10072,"Frank","Hupal"
"Bill Spencer","0","M","Canada","00:06:24","2:48:03","17","17","17",10083,"Bill","Spencer"
"Jimmy Henigan","0","M","Massachusetts","00:06:26","2:49:01","18","18","18",10141,"Jimmy","Henigan"
"Alex Burnside","0","M","Canada","00:06:29","2:50:21","19","19","19",10221,"Alex","Burnside"
"Percy McPherson","0","M","Canada","00:06:31","2:51:12","20","20","20",10272,"Percy","McPherson"
"Gordon Norman","0","M","Massachusetts","00:06:32","2:51:24","21","21","21",10284,"Gordon","Norman"
"Andre Brunelle","0","M","Massachusetts","00:06:33","2:51:48","22","22","22",10308,"Andre","Brunelle"
"Cecil Hill","0","M","Massachusetts","00:06:34","2:52:13","23","23","23",10333,"Cecil","Hill"
"Robert Willouer","0","M","Pennsylvania","00:06:36","2:53:21","24","24","24",10401,"Robert","Willouer"
"Vic Callard","0","M","Canada","00:06:38","2:53:57","25","25","25",10437,"Vic","Callard"
"Anthony Paskell","0","M","Massachusetts","00:06:38","2:54:06","26","26","26",10446,"Anthony","Paskell"
"Karl Koski","0","M","New York","00:06:38","2:54:09","27","27","27",10449,"Karl","Koski"
"David Fagerlund","0","M","New York","00:06:40","2:55:02","28","28","28",10502,"David","Fagerlund"
"Alfred Masik","0","M","New York","00:06:43","2:56:13","29","29","29",10573,"Alfred","Masik"
"Eddie Cudworth","0","M","Canada","00:06:47","2:58:05","30","30","30",10685,"Eddie","Cudworth"
"George Rolland","0","M","New York","00:06:49","2:59:04","31","31","31",10744,"George","Rolland"
"Helanson Brown","0","M","Rhode Island","00:06:51","2:59:46","32","32","32",10786,"Helanson","Brown"
"Jimmy Shaw","0","M","Canada","00:06:52","3:00:15","33","33","33",10815,"Jimmy","Shaw"
"Lewis Young","0","M","Massachusetts","00:06:53","3:00:46","34","34","34",10846,"Lewis","Young"
"Cleomenis Maratos","0","M","New York","00:06:53","3:00:52","35","35","35",10852,"Cleomenis","Maratos"
"Ray Miller","0","M","Georgia","00:06:58","3:02:54","36","36","36",10974,"Ray","Miller"
"John A Kelley","0","M","Massachusetts","00:07:00","3:03:56","37","37","37",11036,"John A Kelley",""
"William Malloy","0","M","Massachusetts","00:07:00","3:03:56","37","37","37",11036,"William","Malloy"
"Thomas L Dick","0","M","Canada","00:07:02","3:04:40","39","39","39",11080,"Thomas L Dick",""
"Daniel O Heard","0","M","Massachusetts","00:07:03","3:05:11","40","40","40",11111,"Daniel O Heard",""
"Jimmy Bartlett","0","M","Canada","00:07:05","3:05:55","41","41","41",11155,"Jimmy","Bartlett"
"J Foxcroft Carlton","0","M","Massachusetts","00:07:08","3:07:17","42","42","42",11237,"J Foxcroft Carlton",""
"Robert L Livingstone","0","M","Massachusetts","00:07:09","3:07:44","43","43","43",11264,"Robert L Livingstone",""
"Noble S Ray Jr","0","M","Massachusetts","00:07:12","3:09:06","44","44","44",11346,"Noble S Ray Jr",""
