"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Ellison M Brown","0","M","Rhode Island","00:05:51","2:33:40","1","1","1",9220,"Ellison M Brown",""
"William F McMahon","0","M","Massachusetts","00:05:55","2:35:27","2","2","2",9327,"William F McMahon",""
"Mel Porter","0","M","New York","00:05:58","2:36:48","3","3","3",9408,"Mel","Porter"
"Leo Giard","0","M","Massachusetts","00:05:59","2:37:16","4","4","4",9436,"Leo","Giard"
"John A Kelley","0","M","Massachusetts","00:06:03","2:38:49","5","5","5",9529,"John A Kelley",""
"Alex Burnside","0","M","Canada","00:06:04","2:39:05","6","6","6",9545,"Alex","Burnside"
"Earle L Collins","0","M","Massachusetts","00:06:05","2:39:49","7","7","7",9589,"Earle L Collins",""
"Anthony J Paskell","0","M","Massachusetts","00:06:06","2:40:07","8","8","8",9607,"Anthony J Paskell",""
"Vic Callard","0","M","Canada","00:06:07","2:40:25","9","9","9",9625,"Vic","Callard"
"James M Shaw","0","M","Canada","00:06:12","2:42:38","10","10","10",9758,"James M Shaw",""
"Augustus Johnson","0","M","New York","00:06:13","2:43:15","11","11","11",9795,"Augustus","Johnson"
"Cecil Hill","0","M","Massachusetts","00:06:16","2:44:24","12","12","12",9864,"Cecil","Hill"
"John Paul","0","M","Canada","00:06:18","2:45:30","13","13","13",9930,"John","Paul"
"Louis Young","0","M","Massachusetts","00:06:20","2:46:11","14","14","14",9971,"Louis","Young"
"James lewis","0","M","Massachusetts","00:06:21","2:46:34","15","15","15",9994,"James","lewis"
"Clarence DeMar","0","M","New Hampshire","00:06:27","2:49:08","16","16","16",10148,"Clarence","DeMar"
"William Wiklund","0","M","New Jersey","00:06:27","2:49:33","17","17","17",10173,"William","Wiklund"
"James P Henigan","0","M","Massachusetts","00:06:30","2:50:37","18","18","18",10237,"James P Henigan",""
"Bill Kennedy","0","M","New York","00:06:33","2:51:52","19","19","19",10312,"Bill","Kennedy"
"Robert Hamilton","0","M","Canada","00:06:33","2:52:08","20","20","20",10328,"Robert","Hamilton"
"Fred Ward","0","M","New York","00:06:35","2:52:40","21","21","21",10360,"Fred","Ward"
"Walter K Ray","0","M","Massachusetts","00:06:38","2:54:11","22","22","22",10451,"Walter K Ray",""
"Girard Cote","0","M","Canada","00:06:39","2:54:22","23","23","23",10462,"Girard","Cote"
"Frank Worthington","0","M","Pennsylvania","00:06:39","2:54:34","24","24","24",10474,"Frank","Worthington"
"Matthew Bardsley","0","M","Rhode Island","00:06:40","2:54:55","25","25","25",10495,"Matthew","Bardsley"
"Walter Young","0","M","Canada","00:06:40","2:55:06","26","26","26",10506,"Walter","Young"
"David Fagerlund","0","M","New York","00:06:40","2:55:11","27","27","27",10511,"David","Fagerlund"
"Roy Kimball","0","M","Massachusetts","00:06:41","2:55:32","28","28","28",10532,"Roy","Kimball"
"Thomas Barry","0","M","Canada","00:06:42","2:56:03","29","29","29",10563,"Thomas","Barry"
"John Semple","0","M","Massachusetts","00:06:45","2:57:02","30","30","30",10622,"John","Semple"
"Sidney Hardacre","0","M","Canada","00:06:48","2:58:43","31","31","31",10723,"Sidney","Hardacre"
"John Clark","0","M","Pennsylvania","00:06:49","2:58:49","32","32","32",10729,"John","Clark"
"John Decoste","0","M","Massachusetts","00:06:49","2:59:01","33","33","33",10741,"John","Decoste"
"William Smalicomben","0","M","Canada","00:06:53","3:00:33","34","34","34",10833,"William","Smalicomben"
"J F Carleton","0","M","Massachusetts","00:06:54","3:01:17","35","35","35",10877,"J F Carleton",""
"Walter N Libbland","0","M","New York","00:06:56","3:01:50","36","36","36",10910,"Walter N Libbland",""
"Thomas Nevala","0","M","Massachusetts","00:06:56","3:02:11","37","37","37",10931,"Thomas","Nevala"
"Michael Mansulla","0","M","Massachusetts","00:07:00","3:03:51","38","38","38",11031,"Michael","Mansulla"
"William Orr","0","M","Canada","00:07:02","3:04:45","39","39","39",11085,"William","Orr"
"Alex Perron","0","M","Massachusetts","00:07:07","3:06:45","40","40","40",11205,"Alex","Perron"
"Daniel Hoffman","0","M","New York","00:07:07","3:06:56","41","41","41",11216,"Daniel","Hoffman"
"UNIDENTIFIED UNKNOWN","0","M","","00:07:12","3:09:13","42","42","42",11353,"UNIDENTIFIED","UNKNOWN"
"Paul Decato","0","M","Massachusetts","00:07:13","3:09:14","43","43","43",11354,"Paul","Decato"
"Walter Lillyman","0","M","Massachusetts","00:07:14","3:09:54","44","44","44",11394,"Walter","Lillyman"
"Thomas McDonough","0","M","Massachusetts","00:07:16","3:10:57","45","45","45",11457,"Thomas","McDonough"
"Croyden E Jordan","0","M","Maine","00:07:17","3:11:22","46","46","46",11482,"Croyden E Jordan",""
"Edward Weselawski","0","M","New York","00:07:19","3:12:08","47","47","47",11528,"Edward","Weselawski"
"Charles Gould","0","M","Massachusetts","00:07:21","3:12:56","48","48","48",11576,"Charles","Gould"
"William Dreyer","0","M","Illinois","00:07:21","3:13:00","49","49","49",11580,"William","Dreyer"
"Charles Brederson","0","M","Rhode Island","00:07:24","3:14:25","50","50","50",11665,"Charles","Brederson"
"Bill Carrigan","0","M","Massachusetts","00:07:26","3:15:02","51","51","51",11702,"Bill","Carrigan"
"William Kimball","0","M","New Hampshire","00:07:26","3:15:14","52","52","52",11714,"William","Kimball"
"Paul J Simpson","0","M","Florida","00:07:29","3:16:32","53","53","53",11792,"Paul J Simpson",""
"Paul J Martin","0","M","Massachusetts","00:07:32","3:17:49","54","54","54",11869,"Paul J Martin",""
"Joseph M Harvey","0","M","Pennsylvania","00:07:35","3:18:56","55","55","55",11936,"Joseph M Harvey",""
"Thomas Maskell","0","M","","00:07:40","3:21:13","56","56","56",12073,"Thomas","Maskell"
"Alexander Provan","0","M","Pennsylvania","00:07:41","3:21:44","57","57","57",12104,"Alexander","Provan"
"Sideny F Gordon","0","M","UNKNOWN","00:07:51","3:26:15","58","58","58",12375,"Sideny F Gordon",""
"Archie Neilson","0","M","Massachusetts","00:07:52","3:26:38","59","59","59",12398,"Archie","Neilson"
"George L Durgin","0","M","UNKNOWN","00:07:55","3:27:40","60","60","60",12460,"George L Durgin",""
"Ted Blake","0","M","Massachusetts","00:07:58","3:28:59","61","61","61",12539,"Ted","Blake"
"Norman Quindley","0","M","Massachusetts","00:07:59","3:29:23","62","62","62",12563,"Norman","Quindley"
