"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Arthur V Roth","0","M","","00:05:36","2:27:16","1","1","1",8836,"Arthur V Roth",""
"Willie Kyronen","0","M","","00:05:37","2:27:27","2","2","2",8847,"Willie","Kyronen"
"Sidney H Hatch","0","M","","00:05:39","2:28:30","3","3","3",8910,"Sidney H Hatch",""
"James J Corkery","0","M","","00:05:44","2:30:34","4","4","4",9034,"James J Corkery",""
"William Brown","0","M","","00:05:53","2:34:18","5","5","5",9258,"William","Brown"
"William J (Bill) Kennedy","0","M","","00:05:55","2:35:17","6","6","6",9317,"William J (Bill) Kennedy",""
"John P Phillips","0","M","","00:06:05","2:39:39","7","7","7",9579,"John P Phillips",""
"Arthur Lee Jamieson","0","M","","00:06:08","2:41:09","8","8","8",9669,"Arthur Lee Jamieson",""
"Michael J Lynch","0","M","","00:06:09","2:41:22","9","9","9",9682,"Michael J Lynch",""
"George B Moss","0","M","","00:06:14","2:43:39","10","10","10",9819,"George B Moss",""
"Leroy A Davis","0","M","","00:06:18","2:45:24","11","11","11",9924,"Leroy A Davis",""
"Hans C Scheuster","0","M","","00:06:19","2:45:41","12","12","12",9941,"Hans C Scheuster",""
"Fred Travalena","0","M","","00:06:31","2:51:16","13","13","13",10276,"Fred","Travalena"
"John J Mullen","0","M","","00:06:36","2:53:09","14","14","14",10389,"John J Mullen",""
"George Kirkwood","0","M","","00:06:37","2:53:34","15","15","15",10414,"George","Kirkwood"
"Oscar Janson","0","M","","00:06:38","2:54:02","16","16","16",10442,"Oscar","Janson"
"Carl W Linder","0","M","","00:06:43","2:56:29","17","17","17",10589,"Carl W Linder",""
"James A McCurnin","0","M","","00:06:45","2:57:06","18","18","18",10626,"James A McCurnin",""
"Ralph Vikstrom","0","M","","00:06:49","2:59:04","19","19","19",10744,"Ralph","Vikstrom"
"Robert Mohrmann","0","M","","00:06:50","2:59:18","20","20","20",10758,"Robert","Mohrmann"
"A Monteverde","0","M","","00:06:54","3:01:04","21","21","21",10864,"A","Monteverde"
"Robert Themea","0","M","","00:07:02","3:04:44","22","22","22",11084,"Robert","Themea"
"Charles Erikson","0","M","","00:07:07","3:07:00","23","23","23",11220,"Charles","Erikson"
"Antonois Angelopoulos","0","M","","00:07:15","3:10:24","24","24","24",11424,"Antonois","Angelopoulos"
"Herbert J Johnson","0","M","","00:07:26","3:15:00","25","25","25",11700,"Herbert J Johnson",""
