"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Fritz Carlson","0","M","","00:05:32","2:25:14","1","1","1",8714,"Fritz","Carlson"
"Andrew Sockalexis","0","M","","00:05:36","2:27:12","2","2","2",8832,"Andrew","Sockalexis"
"Harry Smith","0","M","","00:05:39","2:28:23","3","3","3",8903,"Harry","Smith"
"George F McInerney","0","M","","00:05:47","2:31:51","4","4","4",9111,"George F McInerney",""
"Edouard Fabre","0","M","","00:05:48","2:32:18","5","5","5",9138,"Edouard","Fabre"
"John Stack","0","M","","00:05:49","2:32:38","6","6","6",9158,"John","Stack"
"Joseph M Lorden","0","M","","00:05:50","2:33:04","7","7","7",9184,"Joseph M Lorden",""
"William D Brown","0","M","","00:05:51","2:33:46","8","8","8",9226,"William D Brown",""
"George Gaskill","0","M","","00:05:52","2:34:00","9","9","9",9240,"George","Gaskill"
"Anastas K Sturgis","0","M","","00:05:56","2:35:42","10","10","10",9342,"Anastas K Sturgis",""
"Thomas Dwyer","0","M","","00:05:57","2:36:09","11","11","11",9369,"Thomas","Dwyer"
"Samuel C Pavitt","0","M","","00:05:57","2:36:13","12","12","12",9373,"Samuel C Pavitt",""
"Harry F Jensen","0","M","","00:06:08","2:41:00","13","13","13",9660,"Harry F Jensen",""
"John Weiss","0","M","","00:06:12","2:42:48","14","14","14",9768,"John","Weiss"
"George Crosby","0","M","","00:06:15","2:44:05","15","15","15",9845,"George","Crosby"
"Charles R Lucas","0","M","","00:06:17","2:45:07","16","16","16",9907,"Charles R Lucas",""
"John C Karlsen","0","M","","00:06:19","2:46:01","17","17","17",9961,"John C Karlsen",""
"J J Monaghan","0","M","","00:06:22","2:47:10","18","18","18",10030,"J J Monaghan",""
"Thomas H Lilley","0","M","","00:06:27","2:49:22","19","19","19",10162,"Thomas H Lilley",""
"William J Fallon","0","M","","00:06:29","2:50:20","20","20","20",10220,"William J Fallon",""
"Joseph Marino","0","M","","00:06:33","2:51:58","21","21","21",10318,"Joseph","Marino"
"A G Horne","0","M","","00:06:34","2:52:14","22","22","22",10334,"A G Horne",""
"J J Callan","0","M","","00:06:36","2:53:22","23","23","23",10402,"J J Callan",""
"Fred M Heller","0","M","","00:06:40","2:55:07","24","24","24",10507,"Fred M Heller",""
"Victor Wirtanen","0","M","","00:06:41","2:55:26","25","25","25",10526,"Victor","Wirtanen"
"Clarence Lamondy","0","M","","00:06:43","2:56:15","26","26","26",10575,"Clarence","Lamondy"
"William H Allan","0","M","","00:06:47","2:58:00","27","27","27",10680,"William H Allan",""
"H J Monaghan","0","M","","00:06:51","2:59:41","28","28","28",10781,"H J Monaghan",""
"H A Garvan","0","M","","00:06:54","3:01:10","29","29","29",10870,"H A Garvan",""
"Joseph H Christon","0","M","","00:06:57","3:02:28","30","30","30",10948,"Joseph H Christon",""
"A Monteverde","0","M","","00:07:02","3:04:31","31","31","31",11071,"A","Monteverde"
"Batty O'Byrne","0","M","","00:07:06","3:06:28","32","32","32",11188,"Batty","O'Byrne"
"Alex Ostrand","0","M","","00:07:32","3:17:34","33","33","33",11854,"Alex","Ostrand"
"Martin Silver","0","M","","00:07:40","3:21:13","34","34","34",12073,"Martin","Silver"
"Edward Devlin","0","M","","00:07:50","3:25:38","35","35","35",12338,"Edward","Devlin"
