"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Ellison M Brown","0","M","Rhode Island","00:05:40","2:28:51","1","1","1",8931,"Ellison M Brown",""
"Don Heinicke","0","M","Maryland","00:05:46","2:31:24","2","2","2",9084,"Don","Heinicke"
"Walter Young","0","M","Canada","00:05:49","2:32:41","3","3","3",9161,"Walter","Young"
"Pat Dengis","0","M","New York","00:05:50","2:33:22","4","4","4",9202,"Pat","Dengis"
"Leslie S Pawson","0","M","Rhode Island","00:05:52","2:33:57","5","5","5",9237,"Leslie S Pawson",""
"Paul Donato","0","M","Massachusetts","00:05:53","2:34:25","6","6","6",9265,"Paul","Donato"
"Walter Hornby","0","M","Canada","00:05:59","2:37:11","7","7","7",9431,"Walter","Hornby"
"Gerard A Cote","0","M","Canada","00:06:00","2:37:43","8","8","8",9463,"Gerard A Cote",""
"Frederick Bristow","0","M","Canada","00:06:03","2:38:44","9","9","9",9524,"Frederick","Bristow"
"Andre J Brunelle","0","M","Massachusetts","00:06:04","2:39:09","10","10","10",9549,"Andre J Brunelle",""
"Fred McGlone","0","M","Massachusetts","00:06:05","2:39:51","11","11","11",9591,"Fred","McGlone"
"Anthony Medeiros","0","M","Massachusetts","00:06:09","2:41:24","12","12","12",9684,"Anthony","Medeiros"
"John A Kelly","0","M","Massachusetts","00:06:10","2:42:03","13","13","13",9723,"John A Kelly",""
"George L Durgin","0","M","Massachusetts","00:06:11","2:42:14","14","14","14",9734,"George L Durgin",""
"Lloyd Evans","0","M","Canada","00:06:13","2:43:03","15","15","15",9783,"Lloyd","Evans"
"Joseph Kluneran","0","M","New York","00:06:16","2:44:25","16","16","16",9865,"Joseph","Kluneran"
"Louis Young","0","M","Massachusetts","00:06:18","2:45:24","17","17","17",9924,"Louis","Young"
"Johnny Semple","0","M","Massachusetts","00:06:19","2:45:45","18","18","18",9945,"Johnny","Semple"
"Anthony Paskell","0","M","Massachusetts","00:06:20","2:46:15","19","19","19",9975,"Anthony","Paskell"
"George Dickson","0","M","New York","00:06:20","2:46:24","20","20","20",9984,"George","Dickson"
"Michael J O'Hara","0","M","New York","00:06:20","2:46:25","21","21","21",9985,"Michael J O'Hara",""
"Hugo Kauppinnen","0","M","New York","00:06:21","2:46:43","22","22","22",10003,"Hugo","Kauppinnen"
