"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"John P Caffrey","0","M","","00:06:05","2:39:44","1","1","1",9584,"John P Caffrey",""
"William Sheering","0","M","","00:06:09","2:41:31","2","2","2",9691,"William","Sheering"
"Fred Hughson","0","M","","00:06:27","2:49:08","3","3","3",10148,"Fred","Hughson"
"John B Maguire","0","M","","00:06:32","2:51:36","4","4","4",10296,"John B Maguire",""
"James Fay","0","M","","00:06:40","2:55:07","5","5","5",10507,"James","Fay"
"Thomas J Hicks","0","M","","00:07:08","3:07:19","6","6","6",11239,"Thomas J Hicks",""
"B F Sullivan","0","M","","00:07:22","3:13:20","7","7","7",11600,"B F Sullivan",""
"Richard Grant","0","M","","00:07:23","3:13:57","8","8","8",11637,"Richard","Grant"
