"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"John P Caffrey","0","M","","00:06:05","2:39:44","1","1","1",9584,"John P Caffrey",""
"William Davis","0","M","","00:06:09","2:41:31","2","2","2",9691,"William","Davis"
"Samuel A Mellor Jr","0","M","","00:06:27","2:49:08","3","3","3",10148,"Samuel A Mellor Jr",""
"C Crimmins","0","M","","00:06:32","2:51:36","4","4","4",10296,"C","Crimmins"
"Thomas J Hicks","0","M","","00:06:34","2:52:32","5","5","5",10352,"Thomas J Hicks",""
"John C Lorden","0","M","","00:06:40","2:55:07","6","6","6",10507,"John C Lorden",""
"P Lorden","0","M","","00:06:41","2:55:40","7","7","7",10540,"P","Lorden"
"James McAuliffe","0","M","","00:06:44","2:56:44","8","8","8",10604,"James","McAuliffe"
"E Grusell Jr","0","M","","00:06:57","3:02:20","9","9","9",10940,"E Grusell Jr",""
