"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Samuel A Mellor Jr","0","M","","00:06:13","2:43:12","1","1","1",9792,"Samuel A Mellor Jr",""
"J J Kennedy","0","M","","00:06:18","2:45:21","2","2","2",9921,"J J Kennedy",""
"John C Lorden","0","M","","00:06:40","2:54:49","3","3","3",10489,"John C Lorden",""
"Charlie Moody","0","M","","00:07:00","3:03:47","4","4","4",11027,"Charlie","Moody"
"Carl D Schlobohm","0","M","","00:07:05","3:05:49","5","5","5",11149,"Carl D Schlobohm",""
"Ernest Poole","0","M","","00:07:08","3:07:14","6","6","6",11234,"Ernest","Poole"
"E F O'Brien Jr","0","M","","00:07:13","3:09:15","7","7","7",11355,"E F O'Brien Jr",""
"W H Hunter","0","M","","00:07:14","3:09:50","8","8","8",11390,"W H Hunter",""
"J Flynn","0","M","","00:07:22","3:13:15","9","9","9",11595,"J","Flynn"
"Arthur Ziegler","0","M","","00:07:38","3:20:20","10","10","10",12020,"Arthur","Ziegler"
"E L LeMonier","0","M","","00:07:44","3:22:53","11","11","11",12173,"E L LeMonier",""
"E Estoppey Jr","0","M","","00:07:45","3:23:20","12","12","12",12200,"E Estoppey Jr",""
